CameraName,CameraSpecsUrl,MSRP,Body type,Max resolution,Image ratio w:h,Effective pixels,Sensor photo detectors,Sensor size,Sensor type,Processor,ISO,Boosted ISO (minimum),Boosted ISO (maximum),White balance presets,Custom white balance,Image stabilization,CIPA image stabilization rating,Uncompressed format,JPEG quality levels,Autofocus,Manual focus,Number of focus points,Lens mount,Focal length multiplier,Articulated LCD,Screen size,Screen dots,Touch screen,Screen type,Live view,Viewfinder type,Viewfinder coverage,Viewfinder magnification,Viewfinder resolution,Minimum shutter speed,Maximum shutter speed,Maximum shutter speed (electronic),Aperture priority,Shutter priority,Manual exposure mode,Built-in flash,External flash,Continuous drive,Self-timer,Metering modes,Exposure compensation,AE Bracketing,Format,Modes,Microphone,Speaker,Storage types,USB,USB charging,HDMI,Microphone port,Headphone port,Wireless,Wireless notes,Remote control,Environmentally sealed,Battery,Battery description,Battery Life (CIPA),Weight (inc. batteries),Dimensions,Orientation sensor,Timelapse recording,GPS,,,
Canon PowerShot SD100 (Digital IXUS II / IXY Digital 30),https://www.dpreview.com/products/canon/compacts/canon_sd100/specifications,Ultracompact,2048 x 1536,"1600 x 1200, 1024 x 768, 640 x 480",4:3,3 megapixels,3 megapixels,"1/2.7"" (5.312 x 3.984 mm)",CCD,"Auto, 50, 100, 200, 400",6,Yes,No,No,"Super-Fine, Fine, Normal",35–70 mm,2×,F2.8–3.9,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (3.2 x),No,47 cm (18.5″),10 cm (3.94″),9,1.5″,No,No,Optical (tunnel),15 sec,1/1500 sec,No,No,Yes,3.00 m,No,"Auto, Fill-in, Red-Eye reduction, Off",2.0 fps,Yes (2 or 10 sec),±2 (at 1/3 EV steps),3 mins or 640 x 480 30 secs,SD/MMC card,16 MB SD card,USB 1.0 (1.5 Mbit/sec),No,No,No,Battery Pack,Canon Lithium-Ion & charger,185 g (0.41 lb / 6.53 oz),85 x 56 x 24 mm (3.35 x 2.2 x 0.94″),No,No,,,,,,,,,,,,,,,,,,,,
Canon PowerShot S400 (Digital IXUS 400),https://www.dpreview.com/products/canon/compacts/canon_s400/specifications,Ultracompact,2272 x 1704,"1600 x 1200, 1024 x 768, 640 x 480",4:3,4 megapixels,4 megapixels,"1/1.8"" (7.144 x 5.358 mm)",CCD,"Auto, 50, 100, 200, 400",6,Yes,No,No,"Super-Fine, Fine, Normal",36–108 mm,3×,F2.8–4.9,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (3.6 x),No,46 cm (18.11″),5 cm (1.97″),9,1.5″,No,No,Optical (tunnel),15 sec,1/2000 sec,No,No,Yes,3.50 m,No,"Auto, On, Off, Manual (Red Eye On/Off)",2.5 fps,Yes (2 or 10 sec),±2 (at 1/3 EV steps),"320 x 240, 15 fps, max 3 mins",Compact Flash (Type I),32 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,Battery Pack,Canon NB-L1H 840 mAh Lithium-Ion,230 g (0.51 lb / 8.11 oz),87 x 57 x 28 mm (3.43 x 2.24 x 1.1″),Yes,No,,,,,,,,,,,,,,,,,,,,
Canon PowerShot A60,https://www.dpreview.com/products/canon/compacts/canon_a60/specifications,Compact,1600 x 1200,"1024 x 768, 640 x 480",4:3,2 megapixels,2 megapixels,"1/2.7"" (5.312 x 3.984 mm)",CCD,"Auto, 50, 100, 200, 400",6,Yes,No,No,"Super-Fine, Fine, Normal",35–105 mm,3×,F2.8–4.8,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (2.5 x),Yes,46 cm (18.11″),5 cm (1.97″),5,1.5″,No,Yes,Optical (tunnel),15 sec,1/2000 sec,Yes,Yes,Yes,2.50 m,No,"Auto, On, Off, Manual (Red Eye On/Off)",2.6 fps,Yes (2 or 10 sec),±2 (at 1/3 EV steps),"320 x 240, 15 fps, max 3 mins",Compact Flash (Type I),16 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,AA,AA (4) batteries (NiMH recommended),315 g (0.69 lb / 11.11 oz),101 x 64 x 32 mm (3.98 x 2.52 x 1.26″),No,No,,,,,,,,,,,,,,,,,,,,
Canon PowerShot A70,https://www.dpreview.com/products/canon/compacts/canon_a70/specifications,Compact,2048 x 1536,"1600 x 1200, 1024 x 768, 640 x 480",4:3,3 megapixels,3 megapixels,"1/2.7"" (5.312 x 3.984 mm)",CCD,"Auto, 50, 100, 200, 400",6,Yes,No,No,"Super-Fine, Fine, Normal",35–105 mm,3×,F2.8–4.8,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (3.2 x),Yes,46 cm (18.11″),5 cm (1.97″),5,1.5″,No,Yes,Optical (tunnel),15 sec,1/2000 sec,Yes,Yes,Yes,2.50 m,No,"Auto, On, Off, Manual (Red Eye On/Off)",2.2 fps,Yes (2 or 10 sec),±2 (at 1/3 EV steps),"640 x 480, 30 secs, 320 x 240, 15 fps, max 3 mins",Compact Flash (Type I),16 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,AA,AA (4) batteries (NiMH recommended),315 g (0.69 lb / 11.11 oz),101 x 64 x 32 mm (3.98 x 2.52 x 1.26″),No,No,,,,,,,,,,,,,,,,,,,,
Canon PowerShot A300,https://www.dpreview.com/products/canon/compacts/canon_a300/specifications,Compact,2048 x 1536,"1600 x 1200, 1024 x 768, 640 x 480",4:3,3 megapixels,3 megapixels,"1/2.7"" (5.312 x 3.984 mm)",CCD,"Auto, 50, 100, 200, 400",6,Yes,No,No,"Super-Fine, Fine, Normal",33 mm,1×,F3.6–8,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (5.1x),No,20 cm (7.87″),5 cm (1.97″),5,1.5″,No,Yes,Optical (tunnel),1 sec,1/2000 sec,No,No,Yes,2.00 m,No,"Auto, On, Off, Manual (Red Eye On/Off)",2.2 fps,Yes (10 sec),±2 (at 1/3 EV steps),"640 x 480, 320 x 240, 15 fps, max 3 mins",Compact Flash (Type I),32 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,AA,AA (2) batteries (NiMH recommended),225 g (0.50 lb / 7.94 oz),111 x 58 x 37 mm (4.37 x 2.28 x 1.46″),Yes,No,,,,,,,,,,,,,,,,,,,,
Canon PowerShot S50,https://www.dpreview.com/products/canon/compacts/canon_s50/specifications,Compact,2592 x 1944,"1600 x 1200, 1024 x 768, 640 x 480",4:3,5 megapixels,5 megapixels,"1/1.8"" (7.144 x 5.358 mm)",CCD,"Auto, 50, 100, 200, 400",6,Yes,No,RAW,"Super-Fine Fine, Normal",35–105 mm,3×,F2.8–4.9,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (4.1 x),Yes,50 cm (19.69″),10 cm (3.94″),9,1.8″,118000,No,Yes,Optical (tunnel),15 sec,1/1500 sec,Yes,Yes,Yes,4.00 m,No,"Auto, On, Off, Manual (Red Eye On/Off)",2.0 fps,Yes (2 or 10 sec),±2 (at 1/3 EV steps),"320 x 240, 15 fps, max 3 mins",Compact Flash (Type I or II),32 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,Battery Pack,Canon Lithium-Ion & charger,323 g (0.71 lb / 11.39 oz),112 x 58 x 42 mm (4.41 x 2.28 x 1.65″),Yes,Yes,,,,,,,,,,,,,,,,,,,
Canon EOS 10D,https://www.dpreview.com/products/canon/slrs/canon_eos10d/specifications,Mid-size SLR,3072 x 2048,"2048 x 1360, 1536 x 1024",3:2,6 megapixels,6 megapixels,APS-C (22.7 x 15.1 mm),CMOS,"100, 200, 400, 800, 1600, 3200 (H)",3200,6,Yes,No,RAW,"Fine, Normal",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes,7,Canon EF,1.6×,1.8″,118000,No,No,Optical (pentaprism),95%,0.88× (0.55× 35mm equiv.),30 sec,1/4000 sec,Yes,Yes,Yes (pop-up),12.00 m (ISO 100),Yes (hot-shoe & sync),"Auto, On, Red-eye reduction, Off",3.0 fps,Yes (10 sec (2 sec with mirror lock-up)),"±2 (at 1/3 EV, 1/2 EV steps)",Compact Flash (Type I or II),None,USB 1.0 (1.5 Mbit/sec),No,Yes (N3 connector),No,Battery Pack,875 g (1.93 lb / 30.86 oz),150 x 107 x 75 mm (5.91 x 4.21 x 2.95″),Yes,Yes (by USB cable and PC),,,,,,,,,,,,,,,,,,,,,
Canon EOS-1Ds,https://www.dpreview.com/products/canon/slrs/canon_eos1ds/specifications,Large SLR,4064 x 2704,2032 x 1352,3:2,11 megapixels,11 megapixels,Full frame (35.8 x 23.8 mm),CMOS,"100 - 1250 in 1/3 stops, plus 50 as option",8,Yes,No,RAW,"Fine, Normal (can have ratios programmed)",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes,45,Canon EF,1×,No,2″,120000,No,No,Optical (pentaprism),100%,0.7×,30 sec,1/8000 sec,Yes,Yes,No,Yes (Hot-shoe plus Sync connector),External,3.0 fps,Yes (2 or 10 sec),"±3 (at 1/3 EV, 1/2 EV steps)",None,Compact Flash (Type I or II),None,No,Yes (N3 connector),No,Battery Pack,1585 g (3.49 lb / 55.91 oz),156 x 158 x 80 mm (6.14 x 6.22 x 3.15″),No,Yes (by cable and PC),,,,,,,,,,,,,,,,,,,,,,
Canon PowerShot G3,https://www.dpreview.com/products/canon/compacts/canon_g3/specifications,Compact,2272 x 1704,"1600 x 1200, 1024 x 768, 640 x 480",4:3,4 megapixels,4 megapixels,"1/1.8"" (7.144 x 5.358 mm)",CCD,"Auto, 50, 100, 200, 400",6,Yes,No,RAW,"Super-Fine Fine, Normal",35–140 mm,4×,F2–3,Contrast Detect (sensor)SingleLive View,Yes (x3.6),Yes,50 cm (19.69″),5 cm (1.97″),1.8″,No,Yes,Optical (tunnel),15 sec,1/1250 sec,Yes,Yes,Yes,5.00 m,Yes (hot-shoe),"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",2.5 fps,Yes (2 or 10 sec),±2 (at 1/3 EV steps),max 91/242 secs,Compact Flash (Type I or II),32 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,Yes (InfraRed included),No,Battery Pack,Canon Lithium-Ion & charger,490 g (1.08 lb / 17.28 oz),121 x 74 x 70 mm (4.76 x 2.91 x 2.76″),Yes,Yes,,,,,,,,,,,,,,,,,,,,,
Canon PowerShot S45,https://www.dpreview.com/products/canon/compacts/canon_s45/specifications,Compact,2272 x 1704,"1600 x 1200, 1024 x 768, 640 x 480",4:3,4 megapixels,4 megapixels,"1/1.8"" (7.144 x 5.358 mm)",CCD,"Auto, 50, 100, 200, 400",6,Yes,No,RAW,"Super-Fine Fine, Normal",35–105 mm,3×,F2.8–4.9,Contrast Detect (sensor)SingleLive View,Yes (3.6 x),Yes,50 cm (19.69″),10 cm (3.94″),1.8″,118000,No,Yes,Optical (tunnel),15 sec,1/1500 sec,Yes,Yes,Yes,4.80 m,No,"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",2.5 fps,Yes (2 or 10 sec),±2 (at 1/3 EV steps),max 91/242 secs,Compact Flash (Type I or II),32 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,Battery Pack,Canon Lithium-Ion & charger,323 g (0.71 lb / 11.39 oz),112 x 58 x 42 mm (4.41 x 2.28 x 1.65″),Yes,Yes,,,,,,,,,,,,,,,,,,,,
Canon PowerShot S230 (Digital IXUS v3),https://www.dpreview.com/products/canon/compacts/canon_s230/specifications,Ultracompact,2048 x 1536,"1600 x 1200, 1024 x 768, 640 x 480",4:3,3 megapixels,3 megapixels,"1/2.7"" (5.312 x 3.984 mm)",CCD,"Auto, 50, 100, 200, 400",6,Yes,No,No,"Super-Fine, Fine, Normal",35–70 mm,2×,F2.8–4,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (3.2 x),No,47 cm (18.5″),10 cm (3.94″),9,1.5″,No,No,Optical (tunnel),15 sec,1/1500 sec,No,No,Yes,3.00 m,No,"Auto, Fill-in, Red-Eye reduction, Off",2.0 fps,Yes (2 or 10 sec),±2 (at 1/3 EV steps),"max 14/44/118 sec, audio",Compact Flash (Type I),16 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,Battery Pack,Canon Lithium-Ion & charger,250 g (0.55 lb / 8.82 oz),87 x 57 x 27 mm (3.43 x 2.24 x 1.06″),Yes,No,,,,,,,,,,,,,,,,,,,,
Canon PowerShot A200,https://www.dpreview.com/products/canon/compacts/canon_a200/specifications,Compact,1600 x 1200,"1024 x 768, 640 x 480",4:3,2 megapixels,2 megapixels,"1/3.2"" (4.544 x 3.408 mm)",CCD,"Auto, 50, 100, 200, 400",6,No,No,No,"Super-Fine, Fine, Normal",39 mm,1×,F2.8–8,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (4 x),No,20 cm (7.87″),5 cm (1.97″),3,1.5″,No,Yes,Optical (tunnel),1 sec,1/2000 sec,No,No,Yes,2.00 m,No,"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",2.0 fps,Yes (10 sec),±2 (at 1/3 EV steps),"30 fps, max 9/26 sec",Compact Flash (Type I),8 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,AA,AA (2) batteries (NiMH recommended),225 g (0.50 lb / 7.94 oz),110 x 58 x 37 mm (4.33 x 2.28 x 1.46″),No,No,,,,,,,,,,,,,,,,,,,,
Canon PowerShot S200 (Digital IXUS v2),https://www.dpreview.com/products/canon/compacts/canon_s200/specifications,Ultracompact,1600 x 1200,"1024 x 768, 640 x 480",4:3,2 megapixels,2 megapixels,"1/2.7"" (5.312 x 3.984 mm)",CCD,"Auto, 50, 100, 200, 400",6,Yes,No,No,"Super-Fine, Fine, Normal",35–70 mm,2×,F2.8–4,Contrast Detect (sensor)Multi-areaCenterSingleLive View,Yes (2.5 x),No,57 cm (22.44″),10 cm (3.94″),3,1.5″,No,No,Optical (tunnel),15 sec,1/1500 sec,No,No,Yes,3.00 m,No,"Auto, Fill-in, Red-Eye reduction, Off",2.0 fps,Yes (2 or 10 sec),±2 (at 1/3 EV steps),"max 6/18/48 sec, audio",Compact Flash (Type I),8 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,Battery Pack,Canon Lithium-Ion & charger,250 g (0.55 lb / 8.82 oz),87 x 57 x 27 mm (3.43 x 2.24 x 1.06″),No,No,,,,,,,,,,,,,,,,,,,,
Canon PowerShot S330 (Digital IXUS 330),https://www.dpreview.com/products/canon/compacts/canon_s330/specifications,Ultracompact,1600 x 1200,"1024 x 768, 640 x 480",4:3,2 megapixels,2 megapixels,"1/2.7"" (5.312 x 3.984 mm)",CCD,"Auto, 50, 100, 200, 400",6,Yes,No,No,"Super-Fine, Fine, Normal",35–105 mm,3×,F2.7–4.7,Contrast Detect (sensor)Multi-areaCenterSingleLive View,Yes (2.5 x),No,76 cm (29.92″),16 cm (6.3″),3,1.5″,No,No,Optical (tunnel),15 sec,1/1500 sec,No,No,Yes,3.50 m,No,"Auto, Fill-in, Red-Eye reduction, Off",2.5 fps,Yes (2 or 10 sec),±2 (at 1/3 EV steps),"max 4/10/30 sec, audio",Compact Flash (Type I),8 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,Battery Pack,Canon NB-L1H 840 mAh Lithium-Ion,274 g (0.60 lb / 9.67 oz),95 x 63 x 32 mm (3.74 x 2.48 x 1.26″),Yes,No,,,,,,,,,,,,,,,,,,,,
Canon PowerShot A100,https://www.dpreview.com/products/canon/compacts/canon_a100/specifications,Compact,1280 x 960,"1024 x 768, 640 x 480",4:3,1 megapixels,1 megapixels,"1/3.2"" (4.544 x 3.408 mm)",CCD,"Auto, 64, 100, 200, 400",6,No,No,No,"Super-Fine, Fine, Normal",39 mm,1×,F2.8–8,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (3.2 x),No,20 cm (7.87″),5 cm (1.97″),3,1.5″,No,Yes,Optical (tunnel),1 sec,1/2000 sec,No,No,Yes,2.00 m,No,"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",2.5 fps,Yes (10 sec),±2 (at 1/3 EV steps),"15 fps, max 14/30 sec",Compact Flash (Type I),8 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,AA,AA (2) batteries (NiMH recommended),225 g (0.50 lb / 7.94 oz),110 x 58 x 37 mm (4.33 x 2.28 x 1.46″),No,No,,,,,,,,,,,,,,,,,,,,
Canon PowerShot A30,https://www.dpreview.com/products/canon/compacts/canon_a30/specifications,Compact,1280 x 960,"1024 x 768, 640 x 480",4:3,1 megapixels,1 megapixels,"1/2.7"" (5.312 x 3.984 mm)",CCD,"Auto, 50, 100, 200, 400",6,No,No,No,"Super-Fine, Fine, Normal",35–105 mm,3×,F2.8–4.8,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (2 x),No,76 cm (29.92″),16 cm (6.3″),3,1.5″,No,Yes,Optical (tunnel),15 sec,1/1500 sec,No,No,Yes,2.50 m,No,"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",2.5 fps,Yes (2 or 10 sec),±2 (at 1/3 EV steps),"20 fps, max 10/30 sec",Compact Flash (Type I),8 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,350 g (0.77 lb / 12.35 oz),110 x 71 x 38 mm (4.33 x 2.8 x 1.5″),No,No,,,,,,,,,,,,,,,,,,,,,,
Canon PowerShot A40,https://www.dpreview.com/products/canon/compacts/canon_a40/specifications,Compact,1600 x 1200,"1024 x 768, 640 x 480",4:3,2 megapixels,2 megapixels,"1/2.7"" (5.312 x 3.984 mm)",CCD,"Auto, 50, 100, 200, 400",6,No,No,No,"Super-Fine, Fine, Normal",35–105 mm,3×,F2.8–4.8,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (2.5 x),No,76 cm (29.92″),16 cm (6.3″),3,1.5″,No,Yes,Optical (tunnel),15 sec,1/1500 sec,No,No,Yes,2.50 m,No,"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",2.5 fps,Yes (2 or 10 sec),±2 (at 1/3 EV steps),"20 fps, max 10/30 sec, audio",Compact Flash (Type I),8 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,350 g (0.77 lb / 12.35 oz),110 x 71 x 38 mm (4.33 x 2.8 x 1.5″),No,No,,,,,,,,,,,,,,,,,,,,,,
Canon EOS D60,https://www.dpreview.com/products/canon/slrs/canon_eosd60/specifications,Mid-size SLR,3072 x 2048,"2048 x 1360, 1536 x 1024",3:2,6 megapixels,6 megapixels,APS-C (22.7 x 15.1 mm),CMOS,"100, 200, 400, 800, 1000",5,Yes,No,RAW,"Fine, Normal",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes,3,Canon EF,1.6×,1.8″,No,No,Optical (pentaprism),95%,0.88× (0.55× 35mm equiv.),30 sec,1/4000 sec,Yes,Yes,Yes (pop-up),12.00 m (ISO 100),Yes (hot-shoe & sync),"Auto, On, Red-eye reduction, Off",3.0 fps,Yes (10 sec),"±2 (at 1/3 EV, 1/2 EV steps)",Compact Flash (Type I or II),16 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,Yes (N3 connector),No,Battery Pack,855 g (1.88 lb / 30.16 oz),150 x 107 x 75 mm (5.91 x 4.21 x 2.95″),No,Yes (by USB cable and PC),,,,,,,,,,,,,,,,,,,,,,,
Canon PowerShot S30,https://www.dpreview.com/products/canon/compacts/canon_s30/specifications,Compact,2048 x 1536,"1600 x 1200, 1024 x 768, 640 x 480",4:3,3 megapixels,3 megapixels,"1/1.8"" (7.144 x 5.358 mm)",CCD,"50, 100, 200, 400, 800",6,Yes,No,RAW,"Super-Fine Fine, Normal",35–105 mm,3×,F2.8–4.9,Contrast Detect (sensor)Selective single-pointSingleLive View,Yes (3.2 x),Yes,80 cm (31.5″),10 cm (3.94″),1.8″,No,Yes,Optical (tunnel),15 sec,1/1500 sec,Yes,Yes,Yes,4.80 m,No,"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",2.5 fps,Yes (2 or 10 sec),±2 (at 1/3 EV steps),15 fps,Compact Flash (Type I or II),16 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,Battery Pack,Canon Lithium-Ion & charger,323 g (0.71 lb / 11.39 oz),112 x 58 x 42 mm (4.41 x 2.28 x 1.65″),No,No,,,,,,,,,,,,,,,,,,,,,
Canon PowerShot S40,https://www.dpreview.com/products/canon/compacts/canon_s40/specifications,Compact,2272 x 1704,"1600 x 1200, 1024 x 768, 640 x 480",4:3,4 megapixels,4 megapixels,"1/1.8"" (7.144 x 5.358 mm)",CCD,"50, 100, 200, 400",6,Yes,No,RAW,"Super-Fine Fine, Normal",35–105 mm,3×,F2.8–4.9,Contrast Detect (sensor)Selective single-pointSingleLive View,Yes (3.6 x),Yes,80 cm (31.5″),10 cm (3.94″),1.8″,No,Yes,Optical (tunnel),15 sec,1/1500 sec,Yes,Yes,Yes,4.80 m,No,"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",2.5 fps,Yes (2 or 10 sec),±2 (at 1/3 EV steps),15 fps,Compact Flash (Type I or II),16 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,Battery Pack,Canon Lithium-Ion & charger,323 g (0.71 lb / 11.39 oz),112 x 58 x 42 mm (4.41 x 2.28 x 1.65″),No,No,,,,,,,,,,,,,,,,,,,,,
Canon EOS-1D,https://www.dpreview.com/products/canon/slrs/canon_eos1d/specifications,Large SLR,2464 x 1648,1232 x 824,3:2,4 megapixels,5 megapixels,APS-H (28.7 x 19.1 mm),CCD,"200 - 1600 in 1/3 stops, plus 100 and 3200 as options",100,3200,8,Yes,No,RAW,"Fine, Normal (can have ratios programmed)",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes,45,Canon EF,1.3×,No,2″,120000,No,No,Optical (pentaprism),100%,0.72× (0.55× 35mm equiv.),30 sec,1/16000 sec,Yes,Yes,No,Yes (Hot-shoe plus Sync connector),External,8.0 fps,Yes (2 or 10 sec),"±3 (at 1/3 EV, 1/2 EV steps)",None,Compact Flash (Type I or II),None,No,Yes (N3 connector),Yes,Battery Pack,1585 g (3.49 lb / 55.91 oz),156 x 158 x 80 mm (6.14 x 6.22 x 3.15″),No,Yes (by cable and PC),None,,,,,,,,,,,,,,,,,,,
Canon PowerShot G2,https://www.dpreview.com/products/canon/compacts/canon_g2/specifications,Compact,2272 x 1704,"1600 x 1200, 1024 x 768, 640 x 480",4:3,4 megapixels,4 megapixels,"1/1.8"" (7.144 x 5.358 mm)",CCD,"Auto, 50, 100, 200, 400",6,Yes,No,RAW,"Super-Fine Fine, Normal",34–102 mm,3×,F2–2.5,Contrast Detect (sensor)Selective single-pointSingleLive View,"Yes (x1.4, x1.8, x2.2, x2.7, x3.6)",Yes,70 cm (27.56″),6 cm (2.36″),Fully articulated,1.8″,No,Yes,Optical (tunnel),15 sec,1/1000 sec,Yes,Yes,Yes,4.50 m (F2.0),Yes (hot-shoe),"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",2.5 fps,Yes (10 sec),±2 (at 1/3 EV steps),"15 fps, max 30/120 sec, audio",None,None,Compact Flash (Type I or II),32 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,Yes (InfraRed included),No,Battery Pack,Canon Lithium-Ion & charger,510 g (1.12 lb / 17.99 oz),121 x 77 x 64 mm (4.76 x 3.03 x 2.52″),No,No,None,,,,,,,,,,,,,,,,,
Canon PowerShot S110 (Digital IXUS V),https://www.dpreview.com/products/canon/compacts/canon_s110a/specifications,Ultracompact,1600 x 1200,"1024 x 768, 640 x 480",4:3,2 megapixels,2 megapixels,"1/2.7"" (5.312 x 3.984 mm)",CCD,100,5,No,No,No,"Super-Fine, Fine, Normal",35–70 mm,2×,F2.8–4,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (smooth to 4 x),No,57 cm (22.44″),10 cm (3.94″),3,1.5″,No,No,Optical (tunnel),1 sec,1/1500 sec,No,No,Yes,No,"Auto, Fill-in, Red-Eye reduction, Off",2.0 fps,Yes (10 sec),±2 (at 1/3 EV steps),"20 fps, max 4/10/30 sec, audio",Compact Flash (Type I),8 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,Battery Pack,Canon Lithium-Ion & charger,250 g (0.55 lb / 8.82 oz),87 x 57 x 27 mm (3.43 x 2.24 x 1.06″),No,No,,,,,,,,,,,,,,,,,,,,,
Canon PowerShot S300 (Digital IXUS 300),https://www.dpreview.com/products/canon/compacts/canon_s300/specifications,Ultracompact,1600 x 1200,"1024 x 768, 640 x 480",4:3,2 megapixels,2 megapixels,"1/2.7"" (5.312 x 3.984 mm)",CCD,100,5,No,No,No,"Super-Fine, Fine, Normal",35–105 mm,3×,F2.7–4.7,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (2.5 x),No,76 cm (29.92″),16 cm (6.3″),3,1.5″,No,No,Optical (tunnel),1 sec,1/1500 sec,No,No,Yes,No,"Auto, Fill-in, Red-Eye reduction, Off",2.5 fps,Yes (10 sec),±2 (at 1/3 EV steps),"20 fps, max 5/20/30 sec, audio",Compact Flash (Type I),8 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,Battery Pack,Canon NB-L1 680 mAh Lithium-Ion,270 g (0.60 lb / 9.52 oz),95 x 63 x 30 mm (3.74 x 2.48 x 1.18″),No,No,,,,,,,,,,,,,,,,,,,,,
Canon PowerShot A10,https://www.dpreview.com/products/canon/compacts/canon_a10/specifications,Compact,1280 x 960,"1024 x 768, 640 x 480",4:3,1 megapixels,1 megapixels,"1/2.7"" (5.312 x 3.984 mm)",CCD,100,5,No,No,No,"Super-Fine, Fine, Normal",35–105 mm,3×,F2.7–4.8,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (2 x),No,76 cm (29.92″),16 cm (6.3″),3,1.5″,No,Yes,Optical (tunnel),1 sec,1/1500 sec,No,No,Yes,No,"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",Yes (10 sec),±2 (at 1/3 EV steps),Compact Flash (Type I),8 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,AA,AA (4) batteries (NiMH recommended),375 g (0.83 lb / 13.23 oz),110 x 71 x 38 mm (4.33 x 2.8 x 1.5″),No,No,,,,,,,,,,,,,,,,,,,,,,,
Canon PowerShot A20,https://www.dpreview.com/products/canon/compacts/canon_a20/specifications,Compact,1600 x 1200,"1024 x 768, 640 x 480",4:3,2 megapixels,2 megapixels,"1/2.7"" (5.312 x 3.984 mm)",CCD,100,5,No,No,No,"Super-Fine, Fine, Normal",35–105 mm,3×,F2.7–4.8,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (2.5 x),No,76 cm (29.92″),16 cm (6.3″),3,1.5″,No,Yes,Optical (tunnel),1 sec,1/1500 sec,No,No,Yes,No,"Auto, Fill-in, Red-Eye reduction, Slow Sync, Off",Yes (10 sec),±2 (at 1/3 EV steps),Compact Flash (Type I),8 MB CompactFlash,USB 1.0 (1.5 Mbit/sec),No,No,No,AA,AA (4) batteries (NiMH recommended),375 g (0.83 lb / 13.23 oz),110 x 71 x 38 mm (4.33 x 2.8 x 1.5″),No,No,,,,,,,,,,,,,,,,,,,,,,,
